iter	Passed	Remaining
0	138	138321
1	141	70844
2	144	47974
3	146	36474
4	148	29531
5	152	25292
6	156	22258
7	159	19792
8	161	17773
9	163	16150
10	166	14990
11	170	14000
12	172	13060
13	173	12230
14	175	11544
15	177	10916
16	180	10410
17	183	10022
18	185	9585
19	187	9187
20	189	8822
21	190	8481
22	192	8180
23	197	8018
24	199	7772
25	201	7536
26	202	7307
27	204	7095
28	206	6908
29	210	6801
30	212	6642
31	214	6475
32	215	6321
33	217	6177
34	218	6034
35	220	5901
36	222	5792
37	224	5676
38	225	5561
39	227	5452
40	228	5354
41	230	5255
42	231	5162
43	233	5072
44	235	4990
45	237	4917
46	238	4840
47	240	4767
48	241	4693
49	243	4622
50	244	4558
51	246	4491
52	247	4425
53	249	4363
54	250	4311
55	252	4255
56	253	4199
57	255	4144
58	256	4091
59	258	4046
60	259	4000
61	261	3955
62	263	3914
63	264	3873
64	267	3842
65	269	3812
66	270	3773
67	272	3737
68	274	3700
69	275	3661
70	277	3630
71	279	3602
72	281	3580
73	284	3554
74	285	3526
75	287	3497
76	289	3468
77	290	3438
78	292	3408
79	294	3387
80	296	3369
81	299	3349
82	300	3315
83	301	3293
84	303	3268
85	305	3245
86	306	3220
87	308	3195
88	310	3179
89	313	3165
90	314	3145
91	316	3125
92	318	3104
93	320	3084
94	321	3064
95	323	3044
96	325	3027
97	326	3009
98	328	2990
99	330	2970
100	331	2952
101	333	2934
102	335	2918
103	336	2900
104	338	2882
105	340	2871
106	342	2856
107	343	2838
108	345	2822
109	346	2805
110	348	2789
111	349	2773
112	351	2760
113	353	2745
114	355	2733
115	356	2720
116	358	2703
117	359	2689
118	361	2675
119	363	2662
120	364	2648
121	365	2633
122	368	2627
123	370	2618
124	372	2605
125	373	2593
126	375	2578
127	376	2566
128	378	2556
129	380	2544
130	382	2535
131	383	2524
132	385	2514
133	387	2503
134	388	2491
135	390	2481
136	392	2471
137	393	2461
138	395	2451
139	397	2441
140	406	2476
141	407	2464
142	409	2453
143	411	2444
144	412	2433
145	414	2426
146	416	2419
147	418	2410
148	420	2401
149	422	2391
150	423	2383
151	425	2375
152	427	2366
153	429	2359
154	431	2353
155	433	2345
156	435	2337
157	436	2327
158	438	2319
159	440	2310
160	440	2297
161	442	2290
162	445	2285
163	448	2285
164	452	2287
165	455	2286
166	459	2289
167	461	2287
168	473	2328
169	478	2337
170	480	2328
171	483	2325
172	491	2350
173	499	2372
174	505	2383
175	515	2412
176	522	2427
177	539	2492
178	543	2493
179	546	2491
180	549	2485
181	554	2492
182	558	2491
183	560	2486
184	563	2482
185	568	2488
186	573	2491
187	575	2484
188	580	2491
189	585	2497
190	589	2495
191	591	2487
192	592	2478
193	595	2474
194	598	2470
195	600	2462
196	602	2455
197	604	2446
198	605	2439
199	607	2431
200	611	2431
201	614	2426
202	616	2419
203	618	2412
204	619	2403
205	621	2395
206	625	2397
207	628	2393
208	630	2386
209	632	2379
210	634	2371
211	635	2362
212	638	2358
213	639	2350
214	641	2343
215	643	2336
216	645	2328
217	646	2320
218	648	2313
219	650	2305
220	651	2297
221	653	2290
222	655	2284
223	657	2278
224	659	2271
225	661	2264
226	662	2256
227	664	2249
228	666	2242
229	669	2240
230	671	2235
231	672	2227
232	674	2220
233	675	2212
234	677	2204
235	678	2197
236	680	2189
237	683	2188
238	686	2186
239	688	2179
240	689	2172
241	691	2166
242	693	2159
243	694	2153
244	696	2147
245	699	2142
246	701	2137
247	702	2130
248	704	2124
249	706	2118
250	707	2111
251	709	2105
252	711	2099
253	713	2095
254	716	2092
255	718	2088
256	720	2084
257	723	2080
258	724	2074
259	726	2068
260	729	2064
261	731	2059
262	733	2054
263	735	2049
264	736	2043
265	738	2037
266	740	2033
267	742	2028
268	744	2024
269	746	2019
270	748	2013
271	750	2007
272	751	2001
273	753	1996
274	755	1991
275	757	1987
276	759	1983
277	761	1977
278	763	1971
279	765	1968
280	767	1963
281	768	1957
282	771	1953
283	772	1948
284	775	1944
285	777	1941
286	779	1935
287	780	1930
288	782	1925
289	784	1921
290	787	1917
291	789	1913
292	791	1910
293	793	1905
294	795	1901
295	797	1895
296	798	1890
297	800	1885
298	802	1882
299	804	1877
300	806	1872
301	808	1868
302	809	1862
303	811	1857
304	812	1852
305	814	1847
306	816	1843
307	818	1839
308	820	1835
309	822	1830
310	823	1824
311	825	1819
312	826	1814
313	828	1810
314	831	1807
315	833	1804
316	836	1801
317	837	1796
318	839	1791
319	841	1787
320	842	1783
321	845	1779
322	847	1775
323	849	1771
324	851	1768
325	852	1762
326	854	1758
327	855	1753
328	857	1748
329	859	1745
330	871	1761
331	880	1772
332	884	1772
333	886	1768
334	888	1763
335	890	1760
336	892	1756
337	895	1753
338	896	1748
339	898	1743
340	900	1739
341	901	1734
342	903	1729
343	904	1725
344	907	1723
345	909	1719
346	911	1714
347	912	1710
348	914	1705
349	916	1701
350	917	1696
351	919	1692
352	921	1688
353	923	1685
354	925	1681
355	926	1676
356	928	1672
357	930	1668
358	931	1663
359	933	1659
360	936	1656
361	938	1653
362	939	1649
363	941	1645
364	943	1640
365	944	1636
366	946	1632
367	948	1628
368	950	1625
369	952	1621
370	954	1617
371	955	1613
372	957	1609
373	958	1604
374	960	1600
375	961	1596
376	964	1593
377	965	1589
378	967	1585
379	969	1581
380	970	1577
381	972	1573
382	974	1569
383	975	1564
384	976	1560
385	979	1557
386	981	1553
387	982	1550
388	984	1546
389	986	1542
390	987	1538
391	989	1534
392	991	1530
393	993	1527
394	994	1523
395	996	1520
396	998	1516
397	999	1512
398	1001	1508
399	1003	1505
400	1005	1502
